"Basal Exp (GFP, au)","4-OHT Induced Exp (GFP, au)","GZV Induced Exp (GFP, au)","Dual Induced Exp (GFP, au)",No. of Barcodes (basal),No. of Barcodes (4-OHT),No. of Barcodes (GZV),No. of Barcodes (Dual),No. of Binding sites,Binding site pattern,Core prom,Term spacing reporter,Prom. SynTF A,AD SynTF A,IDR SynTF A,ZF Affinity SynTF A,Term spacing SynTF A,Prom. SynTF B,AD SynTF B,IDR SynTF B,ZF Affinity SynTF B,Term spacing SynTF B,Orientation
258.16,0,954.74,412.51,1,0,1,1,3,3,1,1,3,3,1,2,1,4,1,1,1,1,1
0,17222,7208.7,21019,0,1,1,1,1,4,1,1,3,3,1,2,1,4,1,1,1,1,1
3323.1,64334,18116,48579,61,62,62,66,2,4,1,1,3,3,1,2,1,4,1,1,1,1,1
809.65,1014.2,804.08,1114.8,32,27,23,24,1,1,2,1,3,3,1,2,1,4,1,1,1,1,1
813.49,739.58,7290.6,5346.8,15,17,19,16,3,1,2,1,3,3,1,2,1,4,1,1,1,1,1
833.02,2588.7,801.52,4748.3,17,20,19,18,3,2,2,1,3,3,1,2,1,4,1,1,1,1,1
734.41,1517.9,1277.6,6081.4,19,21,22,18,3,3,2,1,3,3,1,2,1,4,1,1,1,1,1
644.54,3043.4,1351.6,7157.8,3,1,3,3,2,4,2,1,3,3,1,2,1,4,1,1,1,1,1
756.39,1224.1,640.64,1133.8,1,1,1,1,1,1,3,1,3,3,1,2,1,4,1,1,1,1,1
0,0,0,2786.5,0,0,0,1,2,4,1,2,3,3,1,2,1,4,1,1,1,1,1
8133.4,8091.4,89822,17509,6,8,6,9,2,1,1,1,3,2,2,2,1,4,1,1,1,1,1
2691.7,14415,59173,70437,24,23,25,28,3,1,1,1,3,2,2,2,1,4,1,1,1,1,1
688.09,520.65,2792.7,879.04,9,9,6,8,1,2,1,1,3,2,2,2,1,4,1,1,1,1,1
8675.2,8161.8,76899,1.26E+05,1,1,1,1,2,3,1,1,3,2,2,2,1,4,1,1,1,1,1
1089.4,1267.4,12879,47790,2,6,2,4,3,3,1,1,3,2,2,2,1,4,1,1,1,1,1
2786.5,2786.5,0,3076.2,1,1,0,1,1,4,1,1,3,2,2,2,1,4,1,1,1,1,1
3141.4,6499.9,24926,25629,33,38,33,36,2,4,1,1,3,2,2,2,1,4,1,1,1,1,1
632.2,548.97,1034.8,1034.6,14,23,24,19,1,1,2,1,3,2,2,2,1,4,1,1,1,1,1
1383.4,1007.7,6786.1,5341.7,21,22,24,29,3,1,2,1,3,2,2,2,1,4,1,1,1,1,1
731.16,939.2,6608.4,794.32,6,6,6,8,3,2,2,1,3,2,2,2,1,4,1,1,1,1,1
957.97,918.9,2466.5,5129.1,18,18,13,12,3,3,2,1,3,2,2,2,1,4,1,1,1,1,1
1394.4,1310.7,3390.6,4625.6,1,1,1,1,3,1,4,1,3,2,2,2,1,4,1,1,1,1,1
3089.2,14181,0,8250.2,3,3,0,2,1,2,1,1,3,3,2,2,1,4,1,1,1,1,1
677.94,957.19,615.98,892.43,6,9,7,10,1,1,2,1,3,3,2,2,1,4,1,1,1,1,1
507.32,736.76,695.53,1206,1,1,1,1,1,3,2,1,3,3,2,2,1,4,1,1,1,1,1
